['CMT FACEBOOK2.jpg', u'web_site']
['banner2.jpg', u'menu']
['CMT blog-tn.jpg', u'theater_curtain']
['CMT FACEBOOK2-tn.jpg', u'web_site']
['CMT blog.jpg', u'theater_curtain']
['CMT NEWSLETTER.jpg', u'book_jacket']
['CMT NEWS.jpg', u'book_jacket']
['CMT NEWSLETTER-tn.jpg', u'book_jacket']
['CMT-logo-whiteblk.png', u'cleaver']
['gpluslogo.png', u'puck']
['CMT PLAY NOW-tn.jpg', u'digital_clock']
['cmt-bar_instruments.gif', u'ski']
['CMT NEWS-tn.jpg', u'Band_Aid']
['twitter-icon.png', u'digital_clock']
['CMT PLAY NOW.jpg', u'digital_clock']
['cmtcover.jpg', u'web_site']
['youtube-icon.png', u'remote_control']
['CMT_Square.jpg', u'Band_Aid']
['CMT ADVERTISE.jpg', u'book_jacket']
['facebook-icon.png', u'digital_watch']
['CMT ADVERTISE-tn.jpg', u'book_jacket']
