['Doodley-doo.jpg', u'electric_guitar']
['Purple-Martin.jpg', u'miniskirt']
['Dick-Ford-Here-on-the-Hill-B400.jpg', u'rapeseed']
['Dick-Ford-Here-on-the-Hill-Cindy-Pitts-A400.jpg', u'fountain']
['Cindy-Pitts-PhotofromLastImportSlideshow.jpg', u'sarong']
['Purple-Martin-music-video.jpg', u'acoustic_guitar']
['Here-on-the-Hill.jpg', u'cloak']
['Dick-Ford-Here-on-the-Hill-Cindy-Pitts-C400.jpg', u'fountain']
['CindyPitts-CD-C2.jpg', u'loupe']
['Hey-Hey.jpg', u'acoustic_guitar']
['CindyPitts-script.jpg', u'coffee_mug']
['In-the-Water.jpg', u'acoustic_guitar']
['CindyPitts-CDcover-FX400.jpg', u'hammerhead']
['We-are-one.jpg', u'microphone']
