['ForHome_05.jpg', u'megalith']
['awgalogo_reversed.png', u'cleaver']
['DSC1854-e1476728897496-66x66.jpg', u'goblet']
['ForHome_11.jpg', u'abacus']
['FarmLogo-66x66.gif', u'menu']
['ForHome_04.jpg', u'ear']
['transparent.png', u'cleaver']
['ForHome_09.jpg', u'measuring_cup']
['awg_logo_off-1.png', u'web_site']
['ForHome_07.jpg', u'red_wine']
['awg_logo_100x169.png', u'web_site']
['BqSC4f7.jpg', u'pot']
['iStock_000077672851_Double-1.jpg', u'kimono']
['DSC2736-66x66.jpg', u'thresher']
['ForHome_03.jpg', u'anemone_fish']
['eb5a4b87-d7bf-4f5b-b616-38ae6318ec8a-66x66.jpg', u'book_jacket']
['Off_the_Vine-1-300x181-66x66.jpg', u'menu']
