['default_google.png', u'bottlecap']
['default_twitter.png', u'chambered_nautilus']
['icon_Visit_us_en_US.png', u'nail']
['default_email.png', u'loupe']
['youtube.png', u'hair_spray']
['Home-Bottoms5.jpg', u'butcher_shop']
['AB-April-events2.jpg', u'vase']
['default_instagram.png', u'stopwatch']
['default_fb.png', u'hook']
['Home-Bottoms7.jpg', u'barrel']
['logo-7.png', u'book_jacket']
['Home-Bottoms3.jpg', u'plate_rack']
['plus_custom_icon0.jpg', u'safety_pin']
['default_youtube.png', u'pick']
['Home-Wines-Image1.jpg', u'paintbrush']
