['img0013.png', u'pill_bottle']
['img0012.png', u'bubble']
['h-montanile-winery-reviews-logo-250-002.png', u'matchstick']
['h-montanile-winery-reviews-logo-500-002.png', u'nematode']
['skinnys-webworks-logo-001.png', u"jack-o'-lantern"]
['img0002.png', u'matchstick']
['img0010.png', u'barrel']
['img0016_hover.png', u'iPod']
['wine-and-grapes-footer-right-001.png', u'hummingbird']
['img0017_hover.png', u'iPod']
['img0016.png', u'fire_screen']
['wine-com-icon-001.png', u'hook']
['img0017.png', u'fire_screen']
['facebook-banner-close-icon.png', u'matchstick']
['img0009.png', u'barrel']
['awineryreview-featured-business-listing-001.png', u'envelope']
['everyday-choice-001.png', u'spatula']
['awineryreview-original-website-001.png', u'web_site']
['cwc-logo-002.png', u'bolo_tie']
