['lefthome_r11_c2.gif', u'theater_curtain']
['lefthome_r9_c2.gif', u'nail']
['Homecomp.png', u'china_cabinet']
['spacer.gif', u'cleaver']
['lefthome_r2_c1.gif', u'theater_curtain']
['lefthome_r1_c1.gif', u'web_site']
['lefthome_r3_c2.gif', u'nail']
['lefthome_r8_c2.gif', u'matchstick']
['lefthome_r6_c2.gif', u'safety_pin']
['lefthome_r10_c2.gif', u'nail']
['lefthome_r7_c2.gif', u'nail']
['lefthome_r4_c2.gif', u'nail']
['lefthome_r2_c2.gif', u'nail']
['lefthome_r2_c3.gif', u'theater_curtain']
['lefthome_r5_c2.gif', u'nail']
