['bal_2008-63x280.png', u'perfume']
['baz_logo_page.png', u'cleaver']
['bal_2006-63x280.png', u'perfume']
['down-arrow.png', u'cleaver']
['bal_2005-65x280.png', u'perfume']
['bal_2009-63x280.png', u'perfume']
['balthazar_profile.png', u'barrel']
['bal_2001-66x280.png', u'stove']
['balthazar_logo.png', u'book_jacket']
['bal_2002-66x280.png', u'stove']
['Marananga-220x220.jpeg', u'barrel']
['bal_2003-66x280.png', u'espresso_maker']
['2009-Shiraz-Bottle-Shot-sm-220x101.jpg', u'cleaver']
['bal_2004-64x280.png', u'perfume']
['bal_2010-63x280.png', u'perfume']
['2009-Shiraz-Bottle-Shot-sm1-220x101.jpg', u'cleaver']
['bal_2009.png', u'modem']
['bal_2007-62x280.png', u'CD_player']
['up_arrow.png', u'cleaver']
['balthazar_logo_small.png', u'nail']
