['adultvalleycash.gif', u'comic_book']
['logo.gif', u'rule']
['icon7.gif', u'stopwatch']
['collapse_thead.gif', u'nipple']
['stats.gif', u'binder']
['whos_online.gif', u'nipple']
['awmhome.gif ', u'book_jacket']
['collapse_tcat.gif', u'switch']
['forum_old.gif', u'oil_filter']
['icon10.gif', u'panpipe']
['icon1.gif', u'hand-held_computer']
['icon2.gif', u'stopwatch']
['lastpost.gif', u'nipple']
['navbits_start.gif', u'cleaver']
['free-adult-blog-hosting.gif', u'bolo_tie']
['forum_new.gif', u'quill']
['gss.gif', u'web_site']
['blogtur-120x60.gif', u'scoreboard']
