['hero-fsc2.jpg', u'book_jacket']
['grubhub.png', u'jersey']
['Blog-post-image.jpg', u'beer_glass']
['SA-CAN-PNG-57x105.png', u'coffee_mug']
['Hell-or-High-Watermelon-3d-can-copy1-57x111.png', u'coffee_mug']
['Screen-Shot-2017-08-31-at-10.48.43-AM-540x342.png', u'doormat']
['Tasty-57x108.png', u'tray']
['21a-DTE-can-mockup-no-shadow-57x108.png', u'pill_bottle']
['21A-BlahBlahBlah-Can-57x93.png', u'oil_filter']
['21A-WatermelonFunk-12oz-57x108.png', u'packet']
['21A-BrewFreeBloodOrange-Can1-57x108.png', u'book_jacket']
['brewfree_can_022113-57x101.png', u'coffee_mug']
['21A-ElSully-Compressed-e1444171682154.png', u'beer_bottle']
['firesidechat_can_022113-57x101.png', u'thimble']
['backinblack_can_022113-57x101.png', u'oil_filter']
['Tasty-146x278.png', u'lampshade']
['Screen-Shot-2017-09-28-at-3.18.07-PM-540x415.png', u'beer_glass']
