['tumblr_ogc4n6HNV41u4ekk7o1_500.jpg', u'Siamese_cat']
['tumblr_oi95g3lskJ1rpuw07o1_400.jpg', u'iron']
['tumblr_nv60uuDske1rqa20bo2_500.jpg', u'hand_blower']
['tumblr_static_5lyembqpql4wocgkcs4gckoo0.jpg', u'cowboy_hat']
['tumblr_nv60uuDske1rqa20bo1_500.jpg', u'wig']
['tumblr_nrimrczEMQ1rqa20bo1_500.jpg', u'cowboy_hat']
['tumblr_ohrzxwRo7e1qheefco1_500.png', u'book_jacket']
['tumblr_nwt6y6FRHy1rqa20bo2_500.jpg', u'hand_blower']
['tumblr_nwt6y6FRHy1rqa20bo1_500.jpg', u'hand_blower']
['tumblr_mkae00z34J1s85jnto1_500.jpg', u'rock_crab']
['tumblr_ohqh9bMkT81uf67vco1_500.png', u'ear']
