['1453.png', u'television']
['1441.png', u'web_site']
['1454.png', u'web_site']
['1444.png', u'web_site']
['1458.png', u'television']
['146.jpg', u'safety_pin']
['1455.png', u'cash_machine']
['1443.png', u'web_site']
['1456.png', u'television']
['1442.png', u'web_site']
['1440.png', u'web_site']
['398.png', u'web_site']
['1457.png', u'cash_machine']
['1438.png', u'web_site']
['1459.png', u'television']
['147.png', u'matchstick']
['1439.png', u'web_site']
['22.jpg', u'safety_pin']
['23.png', u'matchstick']
['392.png', u'web_site']
