['tumblr_nj0cfoWbvL1reownto1_500.jpg', u'Band_Aid']
['tumblr_oyeeh8mfNW1qk7708o1_1280.jpg', u'suit']
['tumblr_oyecouDtAN1wbspnjo1_1280.jpg', u'envelope']
['tumblr_opy0egV2n61ubp8z0o1_500.jpg', u'lens_cap']
['tumblr_owc5rasoaK1tzj411o1_1280.jpg', u'Windsor_tie']
['tumblr_ofmoamXkol1uvr73fo1_1280.jpg', u'diaper']
['tumblr_okdqphroGt1r025auo1_500.jpg', u'mosquito_net']
['tumblr_niymexXAtn1qjj4npo1_1280.png', u'hair_spray']
['tumblr_ov8i59kK0V1vglyzqo1_540.jpg', u'loupe']
['tumblr_nlhcib9mam1tj8tjfo1_1280.jpg', u'bow_tie']
['tumblr_oyi02nlwaX1s7cqg2o1_400.jpg', u'trench_coat']
['tumblr_otexoq8G6G1s9ai9eo1_1280.jpg', u'shower_cap']
['tumblr_oxfz2he66d1tpguhio1_1280.jpg', u'Band_Aid']
['tumblr_op1osnVJV81vtqzlwo1_1280.jpg', u'swimming_trunks']
