['index_42.jpg', u'digital_clock']
['Bilocate-New-Design-STB-2_11.jpg', u'switch']
['Bilocate-New-Design-STB-2_09.jpg', u'digital_clock']
['Bilocate-New-Design-STB-2_10.jpg', u'pick']
['Bilocate-New-Design-STB-2_14.jpg', u'dishwasher']
['Bilocate-New-Design-STB-2_13.jpg', u'combination_lock']
['Bilocate-New-Design-STB-2_16.jpg', u'spotlight']
['Bilocate-New-Design-STB-2_07.jpg', u'dishwasher']
['0.png', u'binder']
['Bilocate-New-Design-STB-2_08.jpg', u'switch']
['3.png', u'screen']
['Bilocate-New-Design-STB-2_12.jpg', u'switch']
['Bilocate-New-Design-STB-2_02.jpg', u'window_shade']
['Bilocate-New-Design-STB-2_03.jpg', u'safety_pin']
['Bilocate-New-Design-STB-2_01.jpg', u'volcano']
['1.png', u'binder']
['4.png', u'screen']
['Bilocate-New-Design-STB-2_17.jpg', u'stage']
['Bilocate-New-Design-STB-2_04.jpg', u'dishwasher']
['Bilocate-New-Design-STB-2_06.jpg', u'book_jacket']
['2.png', u'screen']
['Bilocate-New-Design-STB-2_15.jpg', u'window_shade']
['Bilocate-New-Design-STB-2_05.jpg', u'dishwasher']
['5.png', u'screen']
