['index_07.gif', u'web_site']
['index_05.gif', u'nail']
['index_08.gif', u'web_site']
['index_12.gif', u'web_site']
['index_03.gif', u'hook']
['nav_03.gif', u'nail']
['nav_01-home.gif', u'nail']
['index_01.gif', u'strawberry']
['carol_home_pg.jpg', u'acoustic_guitar']
['index_11.gif', u'book_jacket']
['index_10.gif', u'book_jacket']
['nav_07.gif', u'nail']
['nav_05.gif', u'nail']
['nav_02.gif', u'envelope']
['index_06.gif', u'web_site']
['index_09.gif', u'web_site']
['nav_04.gif', u'envelope']
['index_04.gif', u'matchstick']
['nav_06.gif', u'nail']
['index_02.gif', u'hook']
