['assets-images-tab_music.gif', u'paintbrush']
['assets-images-header_buy_sheet_music.gif', u'nail']
['assets-images-header_contact_information.gif', u'nail']
['assets-images-header_buy_cds.gif', u'nail']
['assets-images-tab_discussion.gif', u'modem']
['assets-images-cmmp.gif', u'sea_urchin']
['assets-images-header_contributor_login.gif', u'nail']
['assets-images-header_links.gif', u'screw']
['assets-images-spacer.gif', u'cleaver']
['assets-images-header_faqs.gif', u'safety_pin']
['assets-images-header_news.gif', u'screw']
['assets-images-tab_home_act.gif', u'wine_bottle']
