['KCLD-App_488x283.jpg', u'power_drill']
['PartyPlane1000x427.jpg', u'toyshop']
['1ae5fad85c7d3ff8543825a0e8aed112_f6195.jpg', u'scoreboard']
['SecretSound-1000x400.jpg', u'scoreboard']
['1e986652-5a8d-4b20-b1a3-446738d2eabd.png', u'web_site']
['b7054cc0bd591cd56d1bf08c4f887921_f10631.jpg', u'cinema']
['2017-OldSchool-1000x427.jpg', u'cassette']
['Playhouse1000x400.jpg', u'academic_gown']
['24fc11125b93106b2c028115850c449f_f10583.jpg', u'nipple']
['29f23c30862c9b7cb4de1904c4b19032_f15896.jpg', u'web_site']
['f6c28e0533eb9cffd4920ed9c7ac04ff_f14452.jpg', u'cassette']
['KCLD-PartyPlane-1000x427-01.jpg', u'book_jacket']
['Logo-KCLD-Pink.png', u'comic_book']
['19.png', u'web_site']
['KCLD-DelayedCancelled_488x283.jpg', u'plastic_bag']
