['membership.jpg', u'web_site']
['flowers_top.png', u'macaw']
['wine-event-with-cars1111.png', u'sports_car']
['andretti-logo-with-white.png', u'wall_clock']
['1-vinyards.png', u'valley']
['Andretti-Winery-Rehearsal-Dinner-300x199.jpg', u'restaurant']
['ANDRETTI-LOGO-SMALL-6.png', u'throne']
['Andretti-Open-1.png', u'book_jacket']
['1-front-of-andretty-1-.png', u'picket_fence']
['dining_feature_img.jpg', u'restaurant']
['wedding_featured.jpg', u'stole']
['Mario-Andretti-with-yellow-car.jpg', u'sports_car']
