['black-cherry-wine.jpg', u'wine_bottle']
['newsletter-1.jpg', u'bottlecap']
['tourism-durham.png', u'safety_pin']
['logo.png', u'matchstick']
['hard-cider.jpg', u'packet']
['front-porch.jpg', u'picket_fence']
['country-path.png', u'iron']
['daughters.jpg', u'bikini']
['orchard.jpg', u'lakeside']
['medium-logo-29834-2.png', u'oscilloscope']
['fred-sandy.jpg', u'oboe']
['apple-orchard.jpg', u'hip']
['clarington-tourism.png', u'street_sign']
['facebook.png', u'cleaver']
['central-counties-tourism.png', u'quill']
