['home-bottle-single-vineyard.png', u'wine_bottle']
['logo-home-white.png', u'picket_fence']
['home-bottle-single-block.png', u'wine_bottle']
['ajax-loading.gif', u'pick']
['footer-sign-ben.png', u'hook']
['icon-wine.png', u'matchstick']
['icon-visit.png', u'matchstick']
['footer-logo.png', u'web_site']
['footer-sign-luc.png', u'web_site']
['icon-land.png', u'web_site']
['icon-heritage.png', u'web_site']
['logo-page-std-white.png', u'envelope']
['logo-page-std.png', u'projector']
['logo-home.png', u'projector']
['icon-family.png', u'steel_drum']
['home-bottle-heritage.png', u'wine_bottle']
