['bmv_vineyards_but_up.gif', u'lampshade']
['facebook_icon.jpg', u'iPod']
['bmv_horiz_line_1L.gif', u'nematode']
['bmv_vert_line_4.jpg', u'matchstick']
['powers_but_up.gif', u'matchstick']
['spacer.gif', u'matchstick']
['bmv_horiz_line_2L.gif', u'nematode']
['bmv_logo_home.jpg', u'book_jacket']
['get_flash_player.gif', u'lipstick']
['bmv_leaf_right.gif', u'stove']
['bmv_vert_line_1.jpg', u'matchstick']
['bmv_vert_line_2.jpg', u'matchstick']
['bmv_winery_but_up.gif', u'theater_curtain']
['bmv_leaf_left.gif', u'pick']
['bmv_horiz_line_1R.gif', u'nematode']
['bmv_horiz_line_2R.gif', u'nematode']
['pinterest.jpg', u'switch']
['wind_energy_icon.jpg', u'lighter']
['tasting_room_header.gif', u'matchstick']
['bmv_vert_line_3.jpg', u'nematode']
['bmv_home_but_over.gif', u'spatula']
['tasting-room_but_up.gif', u'theater_curtain']
