['wpfa86138d_06.png', u'web_site']
['wpdbc92b2d_06.png', u'book_jacket']
['wpdf9b52ec_06.png', u'nail']
['wp76c19f3e_06.png', u'comic_book']
['wp7fabecac_06.png', u'screw']
['wp910111b0_06.png', u'hourglass']
['wp92e2735f_06.png', u'binder']
['wp77ec92fa_06.png', u'envelope']
['wpc033862f_06.png', u'padlock']
['wp817f5294_06.png', u'envelope']
['wp1ead13a4_06.png', u'plate_rack']
['wp988bfc7d_06.png', u'envelope']
['wp7266a3e5_06.png', u'nail']
['wp2e679361_06.png', u'binder']
['wp258a70fa_06.png', u'corkscrew']
['wpe7588770_06.png', u'nail']
['wp0b01b213_06.png', u'hook']
