['uk-domain.png', u'envelope']
['thebest.jpg', u'stethoscope']
['dell.png', u'face_powder']
['logo.png', u'traffic_light']
['guarantee.jpg', u'book_jacket']
['parallels.png', u'sunscreen']
['linkedin-head.png', u'hair_spray']
['ispa.png', u'face_powder']
['switch.jpg', u'hourglass']
['wales.jpg', u'envelope']
['twitter-head.png', u'pill_bottle']
['quote-face-standard.jpg', u'ping-pong_ball']
['microsoft.png', u'slide_rule']
['ripe.png', u'spotlight']
['uk-dc.png', u'cleaver']
['cisco.png', u'face_powder']
['linx.png', u'nail']
['windows.jpg', u'jigsaw_puzzle']
['webbuilder.jpg', u'envelope']
