['menu_05_corporate.gif', u'digital_clock']
['top_05.jpg', u'window_shade']
['top_03.jpg', u'window_screen']
['121ani.gif', u'harmonica']
['menu_10_runners.gif', u'combination_lock']
['menu_01_home.gif', u'digital_clock']
['menu_02_about.gif', u'lens_cap']
['menu_09_contact.gif', u'digital_clock']
['menu_06_rehab.gif', u'syringe']
['menu_03_studio.gif', u'hook']
['top_04.jpg', u'fire_screen']
['menu_08_profiles.gif', u'screw']
['inputbox_textaddition.gif', u'sunscreen']
['menu_07_consult.gif', u'digital_clock']
['top_01.jpg', u'rule']
['top_02.jpg', u'window_screen']
['button_book_it_now.gif', u'book_jacket']
['transparent.gif', u'cleaver']
['menu_04_services.gif', u'screw']
['headhome.gif', u'plate_rack']
